format	1
declaration	historical_module	destination_module	decision	kind	visibility	command_root	start_line
NumStability.A_charpoly_factors_schur	NumStability.Analysis.MatrixPowersHenrici	NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.DepartureFromNormality	move_reusable	theorem	public	NumStability.A_charpoly_factors_schur	171
NumStability.ComputedMatPowVec	NumStability.Algorithms.MatrixPowers	NumStability.Algorithms.MatrixPowers.ComputedIteration.Model	move_reusable	inductive	public	NumStability.ComputedMatPowVec	29
NumStability.ComputedMatPowVec.casesOn	NumStability.Algorithms.MatrixPowers	NumStability.Algorithms.MatrixPowers.ComputedIteration.Model	move_reusable	definition	public	NumStability.ComputedMatPowVec	29
NumStability.ComputedMatPowVec.mk	NumStability.Algorithms.MatrixPowers	NumStability.Algorithms.MatrixPowers.ComputedIteration.Model	move_reusable	constructor	public	NumStability.ComputedMatPowVec	29
NumStability.ComputedMatPowVec.mono	NumStability.Algorithms.MatrixPowers	NumStability.Algorithms.MatrixPowers.ComputedIteration.Model	move_reusable	theorem	public	NumStability.ComputedMatPowVec.mono	43
NumStability.ComputedMatPowVec.rec	NumStability.Algorithms.MatrixPowers	NumStability.Algorithms.MatrixPowers.ComputedIteration.Model	move_reusable	recursor	public	NumStability.ComputedMatPowVec	29
NumStability.ComputedMatPowVec.recOn	NumStability.Algorithms.MatrixPowers	NumStability.Algorithms.MatrixPowers.ComputedIteration.Model	move_reusable	definition	public	NumStability.ComputedMatPowVec	29
NumStability.ComputedMatPowVec.step	NumStability.Algorithms.MatrixPowers	NumStability.Algorithms.MatrixPowers.ComputedIteration.Model	move_reusable	theorem	public	NumStability.ComputedMatPowVec	29
NumStability.CycQuot	NumStability.Analysis.NilpotentJordanChain	NumStability.Analysis.LinearOperators.Jordan.NormalForm.NilpotentChains	move_reusable	definition	public	NumStability.CycQuot	63
NumStability.FiniteProbability.cstarMatrixTrace_expectationCStarMatrix	NumStability.Analysis.CStarMatrixExpectation	NumStability.Analysis.CStarMatrices.Expectation.Finite	move_reusable	theorem	public	NumStability.FiniteProbability.cstarMatrixTrace_expectationCStarMatrix	118
NumStability.FiniteProbability.cstarMatrix_log_expectationCStarMatrix_cfc_real_exp_mul_le_bernstein_variance_proxy	NumStability.Analysis.LiebTrace	NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity	move_reusable	theorem	public	NumStability.FiniteProbability.cstarMatrix_log_expectationCStarMatrix_cfc_real_exp_mul_le_bernstein_variance_proxy	595
NumStability.FiniteProbability.cstarMatrix_log_expectationCStarMatrix_cfc_real_exp_mul_le_bernstein_variance_proxy_of_prob_pos	NumStability.Analysis.LiebTrace	NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity	move_reusable	theorem	public	NumStability.FiniteProbability.cstarMatrix_log_expectationCStarMatrix_cfc_real_exp_mul_le_bernstein_variance_proxy_of_prob_pos	657
NumStability.FiniteProbability.cstarMatrix_log_expectationCStarMatrix_normed_exp_real_smul_le_bernstein_variance_proxy	NumStability.Analysis.LiebTrace	NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity	move_reusable	theorem	public	NumStability.FiniteProbability.cstarMatrix_log_expectationCStarMatrix_normed_exp_real_smul_le_bernstein_variance_proxy	718
