declaration	owner_module	destination_module	visibility	kind
NumStability.countSketchHashProbability_eventProb_flSparseGramDot_rowGram_perturb_ge_one_sub_square_inv	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.CountSketch.SketchInjectivityBounds	public	theorem
NumStability.countSketchHashProbability_eventProb_injective_ge_one_sub_pair_sum	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.CountSketch.SketchInjectivityBounds	public	theorem
NumStability.countSketchHashProbability_eventProb_injective_ge_one_sub_square_inv	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.CountSketch.SketchInjectivityBounds	public	theorem
NumStability.countSketchHashProbability_eventProb_pairCollision_eq_inv	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.CountSketch.HashCollisionProbabilities	public	theorem
NumStability.countSketchHashProbability_eventProb_pairNoCollision_eq_one_sub_inv	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.CountSketch.HashCollisionProbabilities	public	theorem
NumStability.countSketchHashProbability_expectationReal_collision_coeff_sq_eq_inv_mul	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.CountSketch.HashCollisionProbabilities	public	theorem
NumStability.countSketchHashProbability_expectationReal_pairCollisionIndicator_eq_inv	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.CountSketch.HashCollisionProbabilities	public	theorem
NumStability.countSketchProbability_eventProb_abs_rowGram_quadratic_error_le_ge_one_sub	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.CountSketch.SketchedGramMoments	public	theorem
NumStability.countSketchProbability_eventProb_abs_rowGram_quadratic_error_le_ge_one_sub_delta_of_coeff_budget	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.CountSketch.SketchedGramMoments	public	theorem
NumStability.countSketchProbability_eventProb_flSparseGramDotWithFlStoredSignAddZeroRightPermuted_rowGram_twoSidedLoewner_productGrid_ge_one_sub_delta_of_sum_vecNorm_add_frobNorm_budget	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.CountSketch.SketchedGramLoewnerCovers	public	theorem
NumStability.countSketchProbability_eventProb_flSparseGramDotWithFlStoredSignAddZeroRightTree_rowGram_twoSidedLoewner_productGrid_ge_one_sub_delta_of_sum_vecNorm_add_frobNorm_budget	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.CountSketch.SketchedGramLoewnerCovers	public	theorem
NumStability.countSketchProbability_eventProb_flSparseGramDotWithFlStoredSignAddZeroRight_rowGram_twoSidedLoewner_productGrid_ge_one_sub_delta_of_sum_gridNorm_add_nat_orthonormal_budget	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.CountSketch.SketchedGramLoewnerCovers	public	theorem
NumStability.countSketchProbability_eventProb_flSparseGramDotWithFlStoredSignAddZeroRight_rowGram_twoSidedLoewner_productGrid_ge_one_sub_delta_of_sum_vecNorm_add_frobNorm_budget	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.CountSketch.SketchedGramLoewnerCovers	public	theorem
NumStability.countSketchProbability_eventProb_flSparseGramDotWithFlStoredSignPermuted_rowGram_twoSidedLoewner_productGrid_ge_one_sub_delta_of_sum_vecNorm_add_frobNorm_budget	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.CountSketch.SketchedGramLoewnerCovers	public	theorem
NumStability.countSketchProbability_eventProb_flSparseGramDotWithFlStoredSignSubZeroRightPermuted_rowGram_twoSidedLoewner_productGrid_ge_one_sub_delta_of_sum_vecNorm_add_frobNorm_budget	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.CountSketch.SketchedGramLoewnerCovers	public	theorem
NumStability.countSketchProbability_eventProb_flSparseGramDotWithFlStoredSignSubZeroRightTree_rowGram_twoSidedLoewner_productGrid_ge_one_sub_delta_of_sum_vecNorm_add_frobNorm_budget	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.CountSketch.SketchedGramLoewnerCovers	public	theorem
NumStability.countSketchProbability_eventProb_flSparseGramDotWithFlStoredSignSubZeroRight_rowGram_twoSidedLoewner_productGrid_ge_one_sub_delta_of_sum_gridNorm_add_nat_orthonormal_budget	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.CountSketch.SketchedGramLoewnerCovers	public	theorem
NumStability.countSketchProbability_eventProb_flSparseGramDotWithFlStoredSignSubZeroRight_rowGram_twoSidedLoewner_productGrid_ge_one_sub_delta_of_sum_vecNorm_add_frobNorm_budget	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.CountSketch.SketchedGramLoewnerCovers	public	theorem
NumStability.countSketchProbability_eventProb_flSparseGramDotWithFlStoredSignTree_rowGram_twoSidedLoewner_productGrid_ge_one_sub_delta_of_sum_vecNorm_add_frobNorm_budget	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.CountSketch.SketchedGramLoewnerCovers	public	theorem
NumStability.countSketchProbability_eventProb_flSparseGramDotWithFlStoredSign_rowGram_twoSidedLoewner_productGrid_ge_one_sub_delta_of_sum_gridNorm_add_nat_orthonormal_budget	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.CountSketch.SketchedGramLoewnerCovers	public	theorem
NumStability.countSketchProbability_eventProb_flSparseGramDotWithFlStoredSign_rowGram_twoSidedLoewner_productGrid_ge_one_sub_delta_of_sum_vecNorm_add_frobNorm_budget	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.CountSketch.SketchedGramLoewnerCovers	public	theorem
NumStability.countSketchProbability_eventProb_flSparseGramDotWithStoredSignPermuted_rowGram_twoSidedLoewner_productGrid_ge_one_sub_delta_of_sum_vecNorm_add_frobNorm_budget	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.CountSketch.SketchedGramLoewnerCovers	public	theorem
NumStability.countSketchProbability_eventProb_flSparseGramDotWithStoredSignPermuted_rowGram_twoSidedLoewner_productGrid_ge_one_sub_sum_vecNorm_add_frobNorm	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.CountSketch.SketchedGramLoewnerCovers	public	theorem
NumStability.countSketchProbability_eventProb_flSparseGramDotWithStoredSignTree_rowGram_twoSidedLoewner_productGrid_ge_one_sub_delta_of_sum_vecNorm_add_frobNorm_budget	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.CountSketch.SketchedGramLoewnerCovers	public	theorem
NumStability.countSketchProbability_eventProb_flSparseGramDotWithStoredSignTree_rowGram_twoSidedLoewner_productGrid_ge_one_sub_sum_vecNorm_add_frobNorm	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.CountSketch.SketchedGramLoewnerCovers	public	theorem
NumStability.countSketchProbability_eventProb_flSparseGramDotWithStoredSign_rowGram_twoSidedLoewner_productGrid_ge_one_sub_delta_of_sum_gridNorm_add_nat_orthonormal_budget	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.CountSketch.SketchedGramLoewnerCovers	public	theorem
NumStability.countSketchProbability_eventProb_flSparseGramDotWithStoredSign_rowGram_twoSidedLoewner_productGrid_ge_one_sub_delta_of_sum_vecNorm_add_frobNorm_budget	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.CountSketch.SketchedGramLoewnerCovers	public	theorem
