declaration	owner_module	destination_module	visibility	kind
NumStability.symmetricToeplitz_sine_eigenpair	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors	public	theorem
NumStability.toeplitzSineVector_ne_zero	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors	public	theorem
NumStability.tridiagonalToeplitz_p522_charpoly_of_product_zero	NumStability.Algorithms.TestMatrices.Higham28ToeplitzSpectrum	NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.CharacteristicPolynomial	public	theorem
NumStability.tridiagonalToeplitz_p522_roots_charpoly_of_product_zero	NumStability.Algorithms.TestMatrices.Higham28ToeplitzSpectrum	NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.CharacteristicPolynomial	public	theorem
NumStability.tridiagonalToeplitz_p522_unrestricted_charpoly	NumStability.Algorithms.TestMatrices.Higham28ToeplitzSpectrum	NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.CharacteristicPolynomial	public	theorem
NumStability.tridiagonalToeplitz_p522_unrestricted_eigenvalue	NumStability.Algorithms.TestMatrices.Higham28ToeplitzGeneral	NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenpairs	public	theorem
NumStability.tridiagonalToeplitz_p522_unrestricted_roots_charpoly	NumStability.Algorithms.TestMatrices.Higham28ToeplitzSpectrum	NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.CharacteristicPolynomial	public	theorem
NumStability.uniformPositivePerronAlmostSure	NumStability.Algorithms.TestMatrices.Higham28Probability	NumStability.Source.Higham.Chapter28.Section02.UniformPositive.PerronAlmostSure	public	theorem
NumStability.uniformPositivePerronAlmostSure_of_boundary_null_of_perron	NumStability.Algorithms.TestMatrices.Higham28Probability	NumStability.Source.Higham.Chapter28.Section02.UniformPositive.PerronAlmostSure	public	theorem
NumStability.uniformUnitIntervalMatrixMeasure	NumStability.Algorithms.TestMatrices.Higham28Probability	NumStability.Source.Higham.Chapter28.Section02.UniformPositive.PerronAlmostSure	public	definition
NumStability.uniformUnitIntervalMatrixMeasure_strictlyPositive	NumStability.Algorithms.TestMatrices.Higham28Probability	NumStability.Source.Higham.Chapter28.Section02.UniformPositive.PerronAlmostSure	public	theorem
NumStability.uniformUnitIntervalMatrixMeasure_univ	NumStability.Algorithms.TestMatrices.Higham28Probability	NumStability.Source.Higham.Chapter28.Section02.UniformPositive.PerronAlmostSure	public	theorem
NumStability.volume_preserving_ginibreCoordinateReorder	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.OneRootMomentReduction	public	theorem
NumStability.volume_preserving_ginibreCoordinatesFinMatrix	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.OneRootMomentReduction	public	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28Companion.0.NumStability.companionCyclicSeed	NumStability.Algorithms.TestMatrices.Higham28Companion	NumStability.Source.Higham.Chapter28.Section06.Companion.CharacteristicPolynomial	private	definition
_private.NumStability.Algorithms.TestMatrices.Higham28Companion.0.NumStability.companion_transpose_minpoly_natDegree_ge	NumStability.Algorithms.TestMatrices.Higham28Companion	NumStability.Source.Higham.Chapter28.Section06.Companion.CharacteristicPolynomial	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28Companion.0.NumStability.companion_transpose_pow_seed_succ	NumStability.Algorithms.TestMatrices.Higham28Companion	NumStability.Source.Higham.Chapter28.Section06.Companion.CharacteristicPolynomial	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionCoefficientMoment	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	private	definition
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionCoefficientMoment_gram	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionCoefficientMoment_smul	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionCoefficientMoment_truncated	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionExceptionalCore	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	private	definition
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionExceptionalCore_charpoly	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionGramFormula_mulVec_apply	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionGram_sub_one_eq_rankTwo	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionLastBasis	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	private	definition
