module	path	git_blob	source_sha256	source_lines	format2_declarations	authored_roots	ilean_sha256	ilean_bytes
NumStability.Algorithms.HighamChapter9	NumStability/Algorithms/HighamChapter9.lean	714585c4069df967e465ce4e1efd08c9f2302e6b	B53E40D3E61A236D543B0FDBFB7D31414B2A6F33E6F5CF42EC9175D245E7CA41	113808	3998	3745	25E773B7BC6005C3BAEC435AD45EFB595C84D785260E00A398FE6C20B6E414F7	17958712
NumStability.Algorithms.HighamChapter9CompletePivotSharpClosure	NumStability/Algorithms/HighamChapter9CompletePivotSharpClosure.lean	1b21c92651f10f4ef382f0ddeecfe1899f4dd1c4	8A1A4D0D865E87986100F7AE26A82C7E175B82C4406F51CCF7E776EA21D64A9C	422	25	14	FAFD6C0D89F66BC54FB0402FB9728B0AB405C3FE8569EE802CFB52CBAEA70887	48161
NumStability.Algorithms.HighamChapter9ComplexClosure	NumStability/Algorithms/HighamChapter9ComplexClosure.lean	050945b9da61363cb1dac2681e518fc4c1ad0eca	BD3DDFDE861CBFB502DCCCFF651A261986C822C4E1F752C4264FC54B7EEBC0EB	1404	100	74	8AF91B734065C04D91A436D06F613E41CDF4A660A8B009EB9A97DE443E98D6AE	153054
NumStability.Algorithms.HighamChapter9ComputedCorrection	NumStability/Algorithms/HighamChapter9ComputedCorrection.lean	8fbb7fb063af955dee13f3252d8472fc680e7ba7	5B13C0A3DB21490EBDFFAA9FD4FBD42E8DC08417B03DD0FDE8FE40A6A8B30F9C	174	6	6	80525167736B2990FA53ECE156DA72FCBFD705057E96F145C0E072C584659786	18679
NumStability.Algorithms.HighamChapter9DoolittleClosure	NumStability/Algorithms/HighamChapter9DoolittleClosure.lean	899295a862c22dcec8c9c675f382b9474b6a6777	AA3958ED90D2F71C9C0D6C4304B6225F02BA38B53D4BE3E3741ABA1AFF917899	925	31	20	1D7B9496FDD2057A8D5C3502CF37960C50A2CAAED4E9759880C8B95593B68653	123721
NumStability.Algorithms.HighamChapter9Theorem914Actual	NumStability/Algorithms/HighamChapter9Theorem914Actual.lean	547da380c0972d82f6be0dcc134372be5bd885f6	269E045CBA36ED607AF51C84E96FCAAC0360107EFB1CA85F6CC97F50B5AD0CA6	3411	127	127	AA97B628D10C16D54B14C8438FBFCB36D1FF31EC8BA8083C32749C2E3176D879	395510
NumStability.Algorithms.HighamChapter9Theorem914DiagDominant	NumStability/Algorithms/HighamChapter9Theorem914DiagDominant.lean	cb27828df3f21e1861d55ade348d92731deabd41	F875E06CC1D57407E0DCBB6C5B95BC137D12807646D9FEC2A2F7E7B84B78A7C1	350	2	2	EA371CCE2B32671BAD448948C44E58101808C97F1F4B60F78F82619E9E31E235	49582
NumStability.Algorithms.HighamChapter9Theorem914Primitive	NumStability/Algorithms/HighamChapter9Theorem914Primitive.lean	659822fcc06c19eedc3df067f5882be5dd848cbf	1F726BE0FF2BD6B0E42A7C73CF113548D3BCF27714E2D8F14F09A3B71A360BB6	855	27	27	038B54CE43537A82D019EB84061519A70DB92B6678071B0B5B5E0A5A0EB2A5DA	94456
NumStability.Algorithms.HighamChapter9Theorem97Classification	NumStability/Algorithms/HighamChapter9Theorem97Classification.lean	b5922a3572f50ed00ae2849af97f1a0e4bd92bb5	2AFA6518A8881CA17EFB490DC014674F94E974735F5F8738FA1B5CE762C1DF97	941	38	27	67D1FB698F33435D99EB1BFBB1A57EC5E96A6F03C088B96AE22BBF13446504D8	91619
NumStability.Algorithms.HighamChapter9Theorem99Closure	NumStability/Algorithms/HighamChapter9Theorem99Closure.lean	61fa04ea49d19cfc326e7062a0be811c0d83e3f9	7681BD2987F4DAF289519874AF302DB27BF86046A344C59DB75C6F46B647585A	790	26	26	A4D3AF1281E63558A355B7D58037BA0BE100C3C54305C8A00F7A0C275CAF9CF3	99336
NumStability.Algorithms.HighamChapter9Theorem99ComplexClosure	NumStability/Algorithms/HighamChapter9Theorem99ComplexClosure.lean	7c83126c7690f3308caecfb0437e88874d9b3a52	D2C2EB8AAC1CB1A54619D7961DEA4EDEE83F501BB10876869894A3F050CB4B6F	1039	40	40	51F83BBDC0760E861C77302B21256DD7A597A42829C4340746215C6089264F0B	130236
