module	path	git_blob	source_sha256	source_lines	format2_declarations	authored_roots	ilean_sha256	ilean_bytes
NumStability.Algorithms.Cholesky.AasenPermutationSourceCorrectionCh11	NumStability/Algorithms/Cholesky/AasenPermutationSourceCorrectionCh11.lean	e9987353779f8de8ee1d054640f76454188caefb	C86BB59B7AEA9F41EC00D5C0E89FCBC36802F53706000DD54B9B97FDDBAD8243	157	11	11	384E4BA3A73F558004C2EC9F1D39F9CB935ADBD3DD6875114340B62313C62FBF	20665
NumStability.Algorithms.Cholesky.AasenPrintedCoefficientAlgebraCh11Closure	NumStability/Algorithms/Cholesky/AasenPrintedCoefficientAlgebraCh11Closure.lean	84715fb42b6f3bf9193b9ad59bbc3ac6b865726a	D20ECC29C135BD0F34BAF24D9171285E337BF95E811268F660AFD78BE395B3FB	185	4	4	12B748D2FFC2C5F4DA32F6386F74B6A191B1C280FACDA49229D6B9B767B992EA	19642
NumStability.Algorithms.Cholesky.AasenSourceSharpFactorResidualCh11Closure	NumStability/Algorithms/Cholesky/AasenSourceSharpFactorResidualCh11Closure.lean	709ba13e3b14b1979fd12ba9591c4e520a569cb0	D8E148282571FC016F24C2EB70B9DC614CC63BC1F6AE965007A9809A2BE542C3	969	24	24	78BE9355D73141850A46C40EEFC24C422C8C3B37375E697C036F1EBC3468902F	187750
NumStability.Algorithms.Cholesky.AasenTheorem118ScalarEdgeCh11Discrepancy	NumStability/Algorithms/Cholesky/AasenTheorem118ScalarEdgeCh11Discrepancy.lean	88c8661d45c9ba59b4a5e6bd12a60c8a84ed9d14	812E2ECF65C822AF0FE2ED49B338DC5F2E23C0F2414E2C8DD94A51210BAC9E0E	192	10	10	3F4B0E641DBDE5D54DB9BE52BF088C517E6F226DD27EB1C9C27FFE91BE49F19A	29017
NumStability.Algorithms.Cholesky.AasenTridiagGEPPCh11Closure	NumStability/Algorithms/Cholesky/AasenTridiagGEPPCh11Closure.lean	4d1fdcde602562e50c4fc34902ee65242485ecda	09980D998E131BDDA82E55C11A3274C3FB9BBDECA518FDBCB3850F0A5F80ECF3	398	10	10	4127B571E24020A74EF71A080286EEA626A2948091AF4B7DAD28406B6357DFD1	47247
NumStability.Algorithms.Cholesky.AasenUnitOuterSolveCh11Closure	NumStability/Algorithms/Cholesky/AasenUnitOuterSolveCh11Closure.lean	3679ed68ecc402f7128e724b8c8e4ccd891f1b16	F20E2CC8B985E445C93EAF5CAEBEEFA3C4423FFA93AB4B4060B58C6E152250E3	278	14	14	4825D87B9B72F8F14E455DC6BA964F1E7CF9ACAC86AC72081F8727371A4ED8E6	39611
NumStability.Algorithms.Cholesky.BlockLDLTAllOneByOnePrintedCh11Closure	NumStability/Algorithms/Cholesky/BlockLDLTAllOneByOnePrintedCh11Closure.lean	e97b2521b71a773986120418f3caf68d34debe4a	876B8C252417969DA7C040D1A595D8F33DD6B3C6B2693431CDA1E776B3C397A6	471	22	22	35AF01CA7B21FBBF1EF6C17ED6E18D1DD6490A31269C58E0534DCF8C7A5B6C63	53322
NumStability.Algorithms.Cholesky.BlockLDLTBunchTridiagonalCh11Closure	NumStability/Algorithms/Cholesky/BlockLDLTBunchTridiagonalCh11Closure.lean	fe3290174e8db4863048b7ed2f79b6d15ce59429	58E262A9DB377CF199854DB793073D474787FE5ECE793D105D8D67CD7F2D3AD6	377	15	15	3831038CAFB80F9CB56574F6AA50F428435609AEBBF22533B13E0E1770065082	47279
NumStability.Algorithms.Cholesky.BlockLDLTMixedPivotCh11Closure	NumStability/Algorithms/Cholesky/BlockLDLTMixedPivotCh11Closure.lean	e99d003e99f73c9e74dea206c87063d11454feb6	88343EF77ED87B53669970A2FAE31A9828210A05F0B21582BEF386F8056C83F3	1143	107	80	3DCF946DC3AE6B6AFF44D2CAD5D8B6AE8FF3F80C0AC0615DFF7354EE45E0E81E	172958
NumStability.Algorithms.Cholesky.BlockLDLTSolveBackwardCh11Closure	NumStability/Algorithms/Cholesky/BlockLDLTSolveBackwardCh11Closure.lean	e56cfceaec084381985b5971d6b623cf805eeaae	48B1E605FE58D52A8A38A3B77F9199B7A5BF055903EBC6A16EBECCC121A604BE	1128	40	40	E2B2DFAD88E8CF4BF5809E155C997680C1965247161D36B6714738AF5B5A4C44	158241
NumStability.Algorithms.Cholesky.BunchKaufmanSolveCh11Closure	NumStability/Algorithms/Cholesky/BunchKaufmanSolveCh11Closure.lean	d7873292575b60d3d8d280232fe7f2f5feebf2b2	CAB367C161A3DB42605835D1D59074D7831A737A4DAC0A29A09BE37BB97F6B3D	231	3	3	B1DF82C0EA5BDAD9AAB3C7E0936A0F2FE655C3A2998C3C84E21F9882F3552F2B	24345
NumStability.Algorithms.Cholesky.BunchTridiagonalActualSolveCh11Closure	NumStability/Algorithms/Cholesky/BunchTridiagonalActualSolveCh11Closure.lean	4b0d520438f675696a52a676431aa5c75c3e22c5	1E05760294412E4B689E3009946D59329ADED233FCF79B2846CC090D3A98A99A	230	8	8	81B488819ADBEFBC86F1D1D2BE36EB2F7A3C9F071A416142A6A31F32F8EB0C89	35162
NumStability.Algorithms.Cholesky.BunchTridiagonalFactorBoundCh11Closure	NumStability/Algorithms/Cholesky/BunchTridiagonalFactorBoundCh11Closure.lean	14c51b068e42fdd7bafc33a348bbbfdd251c2974	781B72EB2DB48F7CA120AEDD62512E37DAAC8E48C29CE43CC4674FE8BDC76BC8	569	10	10	DADE08BC4B53D6C6554B080F3F2633C376569B8E36024E21328DF50B914B07B0	47710
NumStability.Algorithms.Cholesky.BunchTridiagonalGrowthCh11Closure	NumStability/Algorithms/Cholesky/BunchTridiagonalGrowthCh11Closure.lean	e456a086ae6194f73f2c5e443bb0082e72f13e17	A14C677E5228F36CC47634B896F758060E30535E710B01EFD9F8BFA7563A6A28	342	7	7	3A430CB7C77595FFC375F2F40405BCBA24053CDAFBD007BAFBD4A612708F36AD	33262
NumStability.Algorithms.Cholesky.BunchTridiagonalGrowthInvariantCh11Closure	NumStability/Algorithms/Cholesky/BunchTridiagonalGrowthInvariantCh11Closure.lean	9c3ddf9ce8f389ed53bdcc9cf1a060e600acf281	38F321C129817AFBE6BC746A22A25BC820C53F891A7013C1A2F1663B884ACF67	1766	63	63	CCFAF7A2038B151832D4071FB2AAD13FE1F9E7DD5C67256CC2968BCB9E1DFB79	254027
NumStability.Algorithms.Cholesky.BunchTridiagonalHFactorCh11Closure	NumStability/Algorithms/Cholesky/BunchTridiagonalHFactorCh11Closure.lean	7fe5b637db19c5b25ef0a67e798d08416b1c4591	4D21857FE48E1C179325AB9FB8D1DA48F7FD778205E3EC243766B26339BEA712	864	30	30	1995CEE71A2F50C8DCEF07941064D16E6084BCD49269143C20A62D4E685FCE2E	121431
NumStability.Algorithms.Cholesky.BunchTridiagonalSparseFactorCh11Closure	NumStability/Algorithms/Cholesky/BunchTridiagonalSparseFactorCh11Closure.lean	0228e5ccb2de2b56b921a66e7d533452ac4e6411	5AB726CD6EB5ACA922B4F2DF0B6C6424E2C0691FB1D334A998151720696085F4	956	30	30	550F2B3D8155BD9B3EA909D1279F30589B4057FFA7016762072D653FF143D595	154412
NumStability.Algorithms.Cholesky.BunchTridiagonalSparseSolveCh11Closure	NumStability/Algorithms/Cholesky/BunchTridiagonalSparseSolveCh11Closure.lean	f6f888f0614a9b23fc00d7cdcdd3a24c1a72b76f	708974E7061BE9CBE55DECE4CD88A55170C6F2586B81F6A6A9B9C0E3D88958ED	498	14	14	A13046C3D0477D9A4698CFE2E6444D5A28A82F17EF35F5DB9E6BE2C476522D62	67285
NumStability.Algorithms.Cholesky.Higham11BunchActualSharpGrowthClosure	NumStability/Algorithms/Cholesky/Higham11BunchActualSharpGrowthClosure.lean	2dc291ec8f4555264206a5667ca6b5caf7b5420d	7DF9FB8A10F21FAD0F354BDBB8E75F0B57549620AB77BD7FFF04538C4AA218DC	463	51	24	D010903D8278109B0848A0E5FC57986086CCA54DFE0B6647291A9E2C4DCA140A	61887
NumStability.Algorithms.Cholesky.Higham11BunchExactTrace	NumStability/Algorithms/Cholesky/Higham11BunchExactTrace.lean	9c5e0ca48fc804a731c488d1ff878a8fa9f49216	88CC5541D9B9E5C03FD49BEE70A42AFAF97DE9A43D9C42443F971ED8131DEE25	454	60	32	C972E564E08ED7BCEF02D58F6D65BC2A3BE870312EC47B84FF508A83D1B459A6	47903
NumStability.Algorithms.Cholesky.Higham11BunchKaufmanActualSelector	NumStability/Algorithms/Cholesky/Higham11BunchKaufmanActualSelector.lean	69acf98eef271adbcc250862e9419ebeb8395354	1C2E9341F9D41C58CD4F690100188E6E2EDE57C6249475E8BD2A47FAC0D7B9EA	368	25	25	9B16E9A470670454E149A1B716B3861D8EE7F9B3F6FAAE011033C54D48A055A2	40416
NumStability.Algorithms.Cholesky.Higham11BunchKaufmanExactGrowth	NumStability/Algorithms/Cholesky/Higham11BunchKaufmanExactGrowth.lean	70cb928d5c5635faefc5cb957f1f3e5840c86297	AEFD2FBB9E6669142470C6F061D3068EC849476DCD3BDBE5509C07EF7AA8F83B	634	21	21	72140E9EDFB3A651908A4C9BB03982929ECD75321BFF5A432D8A5EF4BBF91F80	143208
NumStability.Algorithms.Cholesky.Higham11BunchKaufmanExactGrowthArithmetic	NumStability/Algorithms/Cholesky/Higham11BunchKaufmanExactGrowthArithmetic.lean	6833021fb60b04df67c8b0e04ddf4554a2d24356	6DF1B67A7FDB2AD319DA6D8819BC450F49950AA53F3E71D360C1C604F0D37804	98	5	5	DAD9DCDDE5480CBB22E975AC73AAF367048DB530631632383A39B5C8C9FDF22A	10196
NumStability.Algorithms.Cholesky.Higham11BunchKaufmanExactTrace	NumStability/Algorithms/Cholesky/Higham11BunchKaufmanExactTrace.lean	4bafda48c946aee8e486f581e13a565490eb0c8b	13A808B538BED2A5FD22523F9370F18CD0CAD31A8A0631D467FD2529BB8A4F6E	612	80	34	EBEFE5F67F122B57EF1E9DEE6FC851B1247EA2908564F5976E52E0ADFEEFB9AB	64677
NumStability.Algorithms.Cholesky.Higham11BunchKaufmanExplicitInverseSolve	NumStability/Algorithms/Cholesky/Higham11BunchKaufmanExplicitInverseSolve.lean	05ca4815ef179374fb24845499c9d79a538e1a8a	1DB8BA3E15EF2F0E4F990D4885CE6B65223C9109C1461C27496D1A5E568B149D	1206	25	25	6C16220ACBA195697A813D3D79BCD50E3D827BA85CBAAF91DC3E6F86D7ED2432	122003
