format	1
NumStability.Algorithms.QR.Higham19FormedQ	NumStability/Algorithms/QR/Higham19FormedQ.lean	5a53e45259e27250dfdfcccd1ba025abcffd437b	5a53e45259e27250dfdfcccd1ba025abcffd437b	BCA53FD3678C44C52949E970B2083E4C7BE2BBD3A380BBE9041462B3C0FE4A74	239	219	5476121F1A8B07D3ABEDB9D85BEDC420A9490C26A4648970DF6332E4D5049C83	18594
NumStability.Algorithms.QR.Higham19Labels	NumStability/Algorithms/QR/Higham19Labels.lean	60b9b6aab3a9bddba777547b8e44b1630671c710	60b9b6aab3a9bddba777547b8e44b1630671c710	CCEF62600E1BE2F595663049DC8732A3FB12063582109765FBB24B7D40E1CB27	835	791	5D53B9E1F5334A8ED667159401557EAA1FA4EC6E3E86A9550F3699FE84F93989	74119
NumStability.Algorithms.QR.Higham19Lemma3ActualSequence	NumStability/Algorithms/QR/Higham19Lemma3ActualSequence.lean	4f7208a616ae345cc24ca129653136aff72798ec	4f7208a616ae345cc24ca129653136aff72798ec	9498D796426F8B07D74E582DA469593725E4838A8F438F322097807C7ACDBEFF	252	243	F8CF61E3F64CCCC42D0969DF6254C2011C1B60FBB3E9EFF5C0BAC9B8D5FEC632	24906
NumStability.Algorithms.QR.Higham19Lemma7Gamma4	NumStability/Algorithms/QR/Higham19Lemma7Gamma4.lean	6252dd240dc51a6cc1b861f7b208542585e4b5e6	6252dd240dc51a6cc1b861f7b208542585e4b5e6	07AD9E17DE127B0E891EA75D8A5E98F2788DAF2F2E5B92D3CAD5D4AA9325C591	316	292	CA2258A964B5B34A1298D2375ABF6A7003EF72462A055155109B03911F24B553	23099
NumStability.Algorithms.QR.Higham19Lemma9DisjointSweep	NumStability/Algorithms/QR/Higham19Lemma9DisjointSweep.lean	fae89c01e4c95413fde8b24d042dbfb969fc4528	fae89c01e4c95413fde8b24d042dbfb969fc4528	FD9A98B8B3F415B69B55ACEBD33DF115C03362439B5817A85CC5950D687D01AA	1662	1580	495E16ABD653097600E87378EFF63B8B73E0902A3DD5526ED1E14D3A354E6329	159696
NumStability.Algorithms.QR.Higham19PolarNearest	NumStability/Algorithms/QR/Higham19PolarNearest.lean	5a40fd416790e2dfa529dbc2caa18ba4b540d280	5a40fd416790e2dfa529dbc2caa18ba4b540d280	2780EBC02820F8566C524850D53680202557A61814821F2D2698D77FEC8144F3	556	537	A695CFD3DABF97C047BA3D8EA30E444EA0C392ECE910407CE79C23875673C5A4	70739
NumStability.Algorithms.QR.Higham19Problem19_10	NumStability/Algorithms/QR/Higham19Problem19_10.lean	9a36dcf0da60d19a0b03e9689a48227ea9b8e74f	9a36dcf0da60d19a0b03e9689a48227ea9b8e74f	F60E8BE640356261CA4C2EF8C06EBCBFF0376C1B1027924AF9725489FC1AF600	1508	1408	A4FAFFC68653806F625F5F3A01BDA58F82FF9C27F6111796778247E1624A06C1	187080
NumStability.Algorithms.QR.Higham19Problem19_9	NumStability/Algorithms/QR/Higham19Problem19_9.lean	677da8f9ccc694038e3573e615d7cae648fe9ab7	677da8f9ccc694038e3573e615d7cae648fe9ab7	8086FB340CE3693FF004BA454BCB6F2DE9C6D29148C35B1C554D0C65D888C1FA	317	300	82668C18C1191AF05E5D61596D4EAA753E2108149BD326F1C6579DC03C5A3599	41433
NumStability.Algorithms.QR.Higham19Problem6ActualStep	NumStability/Algorithms/QR/Higham19Problem6ActualStep.lean	533aa7d5f3b5dc8cc7c25651ad1e6bd9d5e45ed0	533aa7d5f3b5dc8cc7c25651ad1e6bd9d5e45ed0	1FE3454EDC61CC61AAA05DCB7EAE557CB7C493C187A7ED790DF597DB1C26CEDB	176	165	CF730B8E61341770008F57E5E5129BF361B0FD7C317BFC0B50E8CD49192F1A00	20626
NumStability.Algorithms.QR.Higham19Sensitivity	NumStability/Algorithms/QR/Higham19Sensitivity.lean	91ea8434d71076e532d49d467a56f47bc152456e	91ea8434d71076e532d49d467a56f47bc152456e	65903BE9186CBBC4BFA991A47B8909F94D3C6F73D3046FBF48C7DA563644B399	1303	1225	A72B5FEACFBF00E186A43E187DC70B33ED7B793ECAA6232456E755C0E6DC41AE	167000
NumStability.Algorithms.QR.Higham19SensitivityClosure	NumStability/Algorithms/QR/Higham19SensitivityClosure.lean	20f3e20f25a42c6465c96d8bf3b3e48b3cc6ff32	20f3e20f25a42c6465c96d8bf3b3e48b3cc6ff32	4C9550A1E403832003CC4CB02FB6524E96211D14E33E37ED2738AD29AF1CF3B3	662	645	673EBF432B81D3D5960A7EE517E1BBB570DF618F9B2501E6274B75B8101D10A1	73913
NumStability.Algorithms.QR.Higham19StoredLoop	NumStability/Algorithms/QR/Higham19StoredLoop.lean	b278792034700b211139d53ddca7648a42556992	b278792034700b211139d53ddca7648a42556992	EA380A583301B55B40451CD26860D8B5E433B54DC87099F66481BBA991EB9946	248	222	903E5E4255366D7151A7376789B9F702890FE46B283B81E7549B4F60F0DDC700	15064
NumStability.Algorithms.QR.Higham19StoredLoopAllPivots	NumStability/Algorithms/QR/Higham19StoredLoopAllPivots.lean	cd066c978fa59f7e74c1f1c49adbefa195cf1222	cd066c978fa59f7e74c1f1c49adbefa195cf1222	DF22FE4F653156D25A5C5EF0DA939041A941F59BA4359B59BCAE060F126AB533	502	474	CE3B8BA6F08DC0B858D578173905F0E595BA1D64639C37B29A924154F1FBA2C5	41777
NumStability.Algorithms.QR.Higham19StoredLoopStrongModel	NumStability/Algorithms/QR/Higham19StoredLoopStrongModel.lean	578407e4dd7b2ec028883abd214584c3873d46a5	578407e4dd7b2ec028883abd214584c3873d46a5	A61F2FB0B38273B36E5CAE1C0F45BBFDF06C1C9667CBE12560B2F000C59EACF1	280	262	77F890BC1757177B79DB158744BE65503EAF7A6122FD4F7697D949E0A4B73294	17340
NumStability.Algorithms.QR.Higham19SunBischof	NumStability/Algorithms/QR/Higham19SunBischof.lean	57b3f7bf698a62409e338d0895e136bfcd3a9e21	57b3f7bf698a62409e338d0895e136bfcd3a9e21	0405045FC2DC487B019625BD16D6925667A1042965D70588F9F6DB8532F12D21	549	498	1EA6D91E48912F8363CE79B6162AA6EE7B41BDFD367C3AC4D1D935B65609194D	62711
NumStability.Algorithms.QR.Higham19Theorem10ActualMatrix	NumStability/Algorithms/QR/Higham19Theorem10ActualMatrix.lean	adff53d781e0ea5e47a85178200ac9c90f044321	adff53d781e0ea5e47a85178200ac9c90f044321	F7FF3102629B234D7462AEAA6449612421CF16802BBC70E6DF016D4A0BF80CEB	815	781	DF15D8301B327F3A24115E31497EF4924E47C9E50FE3013730FC97828CC69AE7	113429
NumStability.Algorithms.QR.Higham19Theorem5Nonbreakdown	NumStability/Algorithms/QR/Higham19Theorem5Nonbreakdown.lean	1129c43ddaca4fde7fba82c894553b0fae918221	1129c43ddaca4fde7fba82c894553b0fae918221	296E1CC4DC22964C9AEF79C8812E5BF823BE40D5939881B5C69BAA5197D86DA1	328	309	3A12745A111E3FFD8639AD9B201C5E11664D12C65B3B8213B9988E2B9BD414D5	48813
NumStability.Algorithms.QR.Higham19Theorem5SourceClosure	NumStability/Algorithms/QR/Higham19Theorem5SourceClosure.lean	7123143d17eea5762eba83fba0e7ea821f2c57bf	7123143d17eea5762eba83fba0e7ea821f2c57bf	382B8D3A2DD4CE355885F6CDAA316DC9149DEFD09849AA645B4DCBE1BF576B65	1310	1257	7AC2F4E298D46CE08CDEBD1868C10E3400BE7EBEF7D5E5D671702D4FA81519F1	136339
NumStability.Algorithms.QR.Higham19Theorem6ActualSource	NumStability/Algorithms/QR/Higham19Theorem6ActualSource.lean	d89dc1671c182c1e45fe3630f3c5c91b4187d587	d89dc1671c182c1e45fe3630f3c5c91b4187d587	D1549D05486E92DDD1B2AE42F2FF7CD5C4D13A58E69EB6AD72790CB565BEFDA0	30	22	C9585DA550E693E20D547DD1B76B502C769424D05EB88B0921C78FA30618F5C6	1078
NumStability.Algorithms.QR.Higham19Thm6ColPivot	NumStability/Algorithms/QR/Higham19Thm6ColPivot.lean	8960102839aa456e28e53026dc577b7a9163e3b7	8960102839aa456e28e53026dc577b7a9163e3b7	5F75A45AF1E09A755BD753ED7487E0EA0084B45B3C1329B24852F9E1E785F205	424	368	85AADB7D999A2C83D81F4B7E6FF57957B56167D279FFCE1DCDBEAC7A5D9E0F31	33993
NumStability.Algorithms.QR.Higham19Thm6ColPivotFull	NumStability/Algorithms/QR/Higham19Thm6ColPivotFull.lean	bf430832274cc60978712619e429cbf2c3e72328	bf430832274cc60978712619e429cbf2c3e72328	D1C345E9A1B9CD798DE612A050FAC30F91E1D0A22863E29A5F2B38A68DD20A92	625	562	B93EE70BE87EF727FB773C126AF537969C722DD7BAF683CA58D6531683814B7D	44356
NumStability.Algorithms.QR.Higham19Thm6CoxHigham	NumStability/Algorithms/QR/Higham19Thm6CoxHigham.lean	9c5d02950dd7b2646f44a67d14ed1b817c3eb4fc	9c5d02950dd7b2646f44a67d14ed1b817c3eb4fc	B912CBAAE3A2E053560981A8DADB47743A87C9593C8CF1788A059895B604C65F	610	529	C8C8A8FC9DE6D695D0DEDF6746CAC3F2816D42D29A4EDED8900865E4684461A4	37371
NumStability.Algorithms.QR.Higham19Thm6CoxHighamAssembly	NumStability/Algorithms/QR/Higham19Thm6CoxHighamAssembly.lean	e36bb8e45f6e716ec7889df7a0f7fd1ffc0bd6c0	e36bb8e45f6e716ec7889df7a0f7fd1ffc0bd6c0	F44195E6C15D0C6106B96843584917CBE54FDAFDC3AA0062EA5260F4764E2172	189	160	EC1B17C31A5EA6367644DA22583F2347A6EB391F4B7B671A7F9F2AF63010B055	4301
NumStability.Algorithms.QR.Higham19Thm6CoxHighamConcrete	NumStability/Algorithms/QR/Higham19Thm6CoxHighamConcrete.lean	9036b5f9f33793f87d817af64504319bc1eda532	9036b5f9f33793f87d817af64504319bc1eda532	86B1BE53BB254B1018D7BE6E8FAA67A5DBA1A475FFB4F8BFCA1F9A2857992181	410	367	E7B0DB400787056A1336901BB7D5D6FC8B6424E07C06D1E2FFA7BDC9FF636D71	31157
NumStability.Algorithms.QR.Higham19Thm6CoxHighamFull	NumStability/Algorithms/QR/Higham19Thm6CoxHighamFull.lean	f8006c90e4e48c5a7c61a6f8647f2d9c69444964	f8006c90e4e48c5a7c61a6f8647f2d9c69444964	BA15253D8E2BD97C25985B8587E6B194B402199EE438F801A41B5731FA086083	392	342	E27D992D5F0951DD94053DE936D4A1119D4C3A9D6C6EE698F1FC57CDC1499105	23661
NumStability.Algorithms.QR.Higham19Thm6Elementwise	NumStability/Algorithms/QR/Higham19Thm6Elementwise.lean	29b9c38046cf9027b43d27b99d7b1ceb2308c90a	29b9c38046cf9027b43d27b99d7b1ceb2308c90a	241F813F1E4E0C92F1A06DD5465A961058B1E1BD6ECBAE2153DABAA373FA1837	443	392	4886810E0EA50BAB2BE06EAE319F941B21871871F120B20E0D431009CDECD8C8	32844
NumStability.Algorithms.QR.Higham19Thm6ElementwiseEntry	NumStability/Algorithms/QR/Higham19Thm6ElementwiseEntry.lean	a211e42c9eda4f45c9a60083bda0a66762a4e280	a211e42c9eda4f45c9a60083bda0a66762a4e280	82B696B9A113E089D7F9F26B62C8A4E1AAB134BD8502592D442181B58478C77C	768	706	408B498C98157AC0C407B6BAE30C74F91EBF616E6812E800E4D7C924D31FC002	52278
NumStability.Algorithms.QR.Higham19Thm6ElementwisePackaged	NumStability/Algorithms/QR/Higham19Thm6ElementwisePackaged.lean	51cbf0df8b87ef4cb4db54122b5cfe288ff5d536	51cbf0df8b87ef4cb4db54122b5cfe288ff5d536	9C7B4C5E89D0DA18BEF4AF28F5878A1245FEDA61A59E3C5B8F9E4A4153984FE5	583	509	5E5A978CC2D0467DCAA27CDDDA34C5D4B7204AA369595616C13376385CD8945B	41008
NumStability.Algorithms.QR.Higham19Thm6Final	NumStability/Algorithms/QR/Higham19Thm6Final.lean	aea3853786b0ccb153080297fd284c49605d108e	aea3853786b0ccb153080297fd284c49605d108e	2C6CCD3D4FDAF6FE74C2D1B981354FD1933B17E886707A682360A4F9F657EAE4	572	517	06F442F344B3CE8AA19940C4AFB8D59FFBA4603F1081993CF06002A3BF28282F	42615
NumStability.Algorithms.QR.Higham19Thm6Pivoted	NumStability/Algorithms/QR/Higham19Thm6Pivoted.lean	8f6c9df0ac4f3ae43de6e93fdc280b156e08ca73	8f6c9df0ac4f3ae43de6e93fdc280b156e08ca73	52B7CABAFC205F3AFC92DE4E539EAB82DCC7E8D0215E44CDAFCE80DFC1F53EBB	364	317	3756516385F3EC456DBE3B7090263604AE9D1AED566E6602AFD6A3A976C37602	29425
NumStability.Algorithms.QR.Higham19Thm6RowSpecific	NumStability/Algorithms/QR/Higham19Thm6RowSpecific.lean	b348444295827172000df9006ea177f45b2cd628	b348444295827172000df9006ea177f45b2cd628	FADA0AA7973CDDB345B77485229CE5DB2146C1F9A02F160A3BE667BCAB354813	354	297	678176BA7A1E6456674F2192C03B0F94AB9F53094E0F7B68573F212AF2C9DCFB	21421
NumStability.Algorithms.QR.Higham19Thm6StrongModel	NumStability/Algorithms/QR/Higham19Thm6StrongModel.lean	ce2c3a4b4269519e2551f5a5c02252a11c5a74d7	ce2c3a4b4269519e2551f5a5c02252a11c5a74d7	93B4CD35AFBFF126BADA4D9C343B4E7BEFB003FE7FE989CB3B5542B486E54108	820	758	4CCC0BAFAF823F25359C34FC0C1693A002C7DFAF6251EBFE3812F8E72032EB29	55756
NumStability.Algorithms.QR.Higham19TurnbullAitken	NumStability/Algorithms/QR/Higham19TurnbullAitken.lean	1fe70feeb2177573f807a896e44ea1a540c3ad11	1fe70feeb2177573f807a896e44ea1a540c3ad11	BF3BE55B4F633768D170A79053EFF29C0E43027C358EBE3DACF6DE505776677E	455	413	1B2C52CD1587AF298F44B504A17B976A8E84D7FEC862304D763D697569BF2421	66030
NumStability.Algorithms.QR.Higham19WYApplicationClosure	NumStability/Algorithms/QR/Higham19WYApplicationClosure.lean	2cbed76cdf8be333bd5d6a0557511d9c66d77d4a	9ad5dbe19017d2be7f166b237acd7b478cd02bcd	D35ABB701CD5D5668B5EB1599FF4130300C359ABC6455CE4FFEA380907DBC100	915	852	448BEDAF4DFEEA7CF04C6C3CA0BCDF1C0FE89A94340635116306B91EDAD6A921	99363
