format	1
NumStability.Algorithms.QR.Higham19Lemma7Gamma4	NumStability.Algorithms.Norm2	ordinary
NumStability.Algorithms.QR.Higham19Lemma7Gamma4	NumStability.Algorithms.QR.GivensSpec	ordinary
NumStability.Algorithms.QR.Higham19Lemma7Gamma4	NumStability.Analysis.Rounding	ordinary
NumStability.Algorithms.QR.Higham19Lemma7Gamma4	NumStability.FloatingPoint.Model	ordinary
NumStability.Algorithms.QR.Higham19Lemma9DisjointSweep	Mathlib.Algebra.BigOperators.Group.Finset.Basic	ordinary
NumStability.Algorithms.QR.Higham19Lemma9DisjointSweep	Mathlib.Algebra.Order.BigOperators.Group.Finset	ordinary
NumStability.Algorithms.QR.Higham19Lemma9DisjointSweep	Mathlib.Data.Real.Basic	ordinary
NumStability.Algorithms.QR.Higham19Lemma9DisjointSweep	Mathlib.Data.Real.Sqrt	ordinary
NumStability.Algorithms.QR.Higham19Lemma9DisjointSweep	Mathlib.Tactic.Linarith	ordinary
NumStability.Algorithms.QR.Higham19Lemma9DisjointSweep	Mathlib.Tactic.Ring	ordinary
NumStability.Algorithms.QR.Higham19Lemma9DisjointSweep	NumStability.Algorithms.QR.GivensMatrixStep	ordinary
NumStability.Algorithms.QR.Higham19Lemma9DisjointSweep	NumStability.Algorithms.QR.GivensQR	ordinary
NumStability.Algorithms.QR.Higham19Lemma9DisjointSweep	NumStability.Algorithms.QR.GivensSpec	ordinary
NumStability.Algorithms.QR.Higham19Lemma9DisjointSweep	NumStability.Algorithms.QR.Higham19Labels	ordinary
NumStability.Algorithms.QR.Higham19Lemma9DisjointSweep	NumStability.Algorithms.QR.Higham19Lemma7Gamma4	ordinary
NumStability.Algorithms.QR.Higham19Lemma9DisjointSweep	NumStability.Analysis.MatrixAlgebra	ordinary
NumStability.Algorithms.QR.Higham19PolarNearest	NumStability.Algorithms.QR.GramSchmidtPolar	ordinary
NumStability.Algorithms.QR.Higham19PolarNearest	NumStability.Algorithms.QR.Higham19Sensitivity	ordinary
NumStability.Algorithms.QR.Higham19Problem19_10	Mathlib.Tactic.FinCases	ordinary
NumStability.Algorithms.QR.Higham19Problem19_10	Mathlib.Tactic.NormNum	ordinary
NumStability.Algorithms.QR.Higham19Problem19_10	NumStability.Algorithms.LeastSquares.Higham20CrossProductExample	ordinary
NumStability.Algorithms.QR.Higham19Problem19_10	NumStability.Algorithms.QR.Higham19Alg12MGSRounded	ordinary
NumStability.Algorithms.QR.Higham19Problem19_9	Mathlib.Analysis.SpecialFunctions.Trigonometric.Cotangent	ordinary
NumStability.Algorithms.QR.Higham19Problem19_9	NumStability.Algorithms.QR.Higham19Sensitivity	ordinary
NumStability.Algorithms.QR.Higham19Problem19_9	NumStability.Analysis.HighamChapter7	ordinary
NumStability.Algorithms.QR.Higham19Problem19_9	NumStability.Analysis.MatrixSpectral	ordinary
NumStability.Algorithms.QR.Higham19Problem19_9	NumStability.Analysis.SingularValues.Realification	ordinary
NumStability.Algorithms.QR.Higham19Problem6ActualStep	NumStability.Algorithms.QR.HouseholderMatrixStep	ordinary
NumStability.Algorithms.QR.Higham19Sensitivity	Mathlib.LinearAlgebra.Matrix.Block	ordinary
NumStability.Algorithms.QR.Higham19Sensitivity	NumStability.Algorithms.Cholesky.CholeskyPerturbation	ordinary
NumStability.Algorithms.QR.Higham19Sensitivity	NumStability.Algorithms.QR.GramSchmidt	ordinary
NumStability.Algorithms.QR.Higham19SensitivityClosure	NumStability.Algorithms.QR.Higham19Sensitivity	ordinary
NumStability.Algorithms.QR.Higham19StoredLoop	NumStability.Algorithms.QR.HouseholderQRSupport	ordinary
NumStability.Algorithms.QR.Higham19StoredLoop	NumStability.Analysis.MatrixAlgebra	ordinary
NumStability.Algorithms.QR.Higham19StoredLoopAllPivots	NumStability.Algorithms.QR.Higham19StoredLoop	ordinary
NumStability.Algorithms.QR.Higham19StoredLoopAllPivots	NumStability.Algorithms.QR.Higham19StoredLoopStrongModel	ordinary
NumStability.Algorithms.QR.Higham19StoredLoopAllPivots	NumStability.Algorithms.QR.HouseholderQRSupport	ordinary
NumStability.Algorithms.QR.Higham19StoredLoopAllPivots	NumStability.Analysis.MatrixAlgebra	ordinary
NumStability.Algorithms.QR.Higham19StoredLoopStrongModel	NumStability.Algorithms.QR.Higham19StoredLoop	ordinary
NumStability.Algorithms.QR.Higham19StoredLoopStrongModel	NumStability.Algorithms.QR.HouseholderQRSupport	ordinary
NumStability.Algorithms.QR.Higham19StoredLoopStrongModel	NumStability.Analysis.MatrixAlgebra	ordinary
NumStability.Algorithms.QR.Higham19SunBischof	Mathlib.Analysis.InnerProductSpace.Projection.FiniteDimensional	ordinary
NumStability.Algorithms.QR.Higham19SunBischof	Mathlib.LinearAlgebra.UnitaryGroup	ordinary
NumStability.Algorithms.QR.Higham19SunBischof	NumStability.Algorithms.QR.Higham19WYApplicationClosure	ordinary
NumStability.Algorithms.QR.Higham19Theorem10ActualMatrix	NumStability.Algorithms.QR.Higham19	ordinary
NumStability.Algorithms.QR.Higham19Theorem10ActualMatrix	NumStability.Algorithms.QR.Higham19Lemma9DisjointSweep	ordinary
