format	1
NumStability.ComplexMatrixFixedUnitaryInvariantNorm.norm	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	definition	public
NumStability.ComplexMatrixFixedUnitaryInvariantNorm.norm_nonneg	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	theorem	public
NumStability.ComplexMatrixFixedUnitaryInvariantNorm.rec	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	recursor	public
NumStability.ComplexMatrixFixedUnitaryInvariantNorm.recOn	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	definition	public
NumStability.ComplexMatrixFixedUnitaryInvariantNorm.right_contraction_le	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	theorem	public
NumStability.ComplexMatrixFixedUnitaryInvariantNorm.right_mul_le	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	theorem	public
NumStability.ComplexMatrixFixedUnitaryInvariantNorm.right_unitary	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	theorem	public
NumStability.ComplexMatrixFixedUnitaryInvariantNorm.smul	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	theorem	public
NumStability.ComplexMatrixFixedUnitaryInvariantNorm.toOperatorIdealNorm	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	definition	public
NumStability.ComplexMatrixFixedUnitaryInvariantNorm.toOperatorIdealNormOfSVD	NumStability.Source.Higham.Chapter06.Problem05	definition	public
NumStability.ComplexMatrixFlatEntryNorm	NumStability.Analysis.MatrixNorms.Comparisons	definition	public
NumStability.ComplexMatrixInfOneQuadraticUnitSet	NumStability.Analysis.MatrixNorms.Attainment	definition	public
NumStability.ComplexMatrixLpNonzeroRatioSet	NumStability.Analysis.MatrixNorms.Attainment	definition	public
NumStability.ComplexMatrixLpNormRieszThorinClosedCase	NumStability.Analysis.MatrixNorms.Comparisons	inductive	public
NumStability.ComplexMatrixLpNormRieszThorinClosedCase.casesOn	NumStability.Analysis.MatrixNorms.Comparisons	definition	public
NumStability.ComplexMatrixLpNormRieszThorinClosedCase.finiteReal	NumStability.Analysis.MatrixNorms.Comparisons	constructor	public
NumStability.ComplexMatrixLpNormRieszThorinClosedCase.finite_left_one_top	NumStability.Analysis.MatrixNorms.Comparisons	constructor	public
NumStability.ComplexMatrixLpNormRieszThorinClosedCase.finite_left_top_one	NumStability.Analysis.MatrixNorms.Comparisons	constructor	public
NumStability.ComplexMatrixLpNormRieszThorinClosedCase.of_endpointFinite_target_ofReal	NumStability.Analysis.MatrixNorms.Comparisons	theorem	public
NumStability.ComplexMatrixLpNormRieszThorinClosedCase.of_interpolationData	NumStability.Analysis.MatrixNorms.Comparisons	theorem	public
NumStability.ComplexMatrixLpNormRieszThorinClosedCase.one_top	NumStability.Analysis.MatrixNorms.Comparisons	constructor	public
NumStability.ComplexMatrixLpNormRieszThorinClosedCase.one_top_left	NumStability.Analysis.MatrixNorms.Comparisons	constructor	public
NumStability.ComplexMatrixLpNormRieszThorinClosedCase.rec	NumStability.Analysis.MatrixNorms.Comparisons	recursor	public
NumStability.ComplexMatrixLpNormRieszThorinClosedCase.recOn	NumStability.Analysis.MatrixNorms.Comparisons	definition	public
NumStability.ComplexMatrixLpNormRieszThorinClosedCase.strict_eq_one	NumStability.Analysis.MatrixNorms.Comparisons	constructor	public
NumStability.ComplexMatrixLpNormRieszThorinClosedCase.strict_eq_top	NumStability.Analysis.MatrixNorms.Comparisons	constructor	public
NumStability.ComplexMatrixLpNormRieszThorinClosedCase.theta_one	NumStability.Analysis.MatrixNorms.Comparisons	constructor	public
NumStability.ComplexMatrixLpNormRieszThorinClosedCase.theta_zero	NumStability.Analysis.MatrixNorms.Comparisons	constructor	public
NumStability.ComplexMatrixLpNormRieszThorinClosedCase.top_one	NumStability.Analysis.MatrixNorms.Comparisons	constructor	public
