format	1
NumStability.ch6aside_frobenius_two_sided_unitary_invariant	NumStability.Analysis.Higham6Asides	NumStability.Source.Higham.Chapter06.Asides.UnitaryInvariance	theorem	public
NumStability.ch6aside_matrixLpCLM	NumStability.Analysis.Higham6BlockAntidiag	NumStability.Source.Higham.Chapter06.BlockAntidiagonalNorm.InducedLp	definition	public
NumStability.ch6aside_matrixLpCLM._proof_1	NumStability.Analysis.Higham6BlockAntidiag	NumStability.Source.Higham.Chapter06.BlockAntidiagonalNorm.InducedLp	theorem	internal
NumStability.ch6aside_matrixLpCLM._proof_2	NumStability.Analysis.Higham6BlockAntidiag	NumStability.Source.Higham.Chapter06.BlockAntidiagonalNorm.InducedLp	theorem	internal
NumStability.ch6aside_matrixLpCLM._proof_3	NumStability.Analysis.Higham6BlockAntidiag	NumStability.Source.Higham.Chapter06.BlockAntidiagonalNorm.InducedLp	theorem	internal
NumStability.ch6aside_matrixLpCLM_apply	NumStability.Analysis.Higham6BlockAntidiag	NumStability.Source.Higham.Chapter06.BlockAntidiagonalNorm.InducedLp	theorem	public
NumStability.ch6aside_matrixLpCLM_isComplexMatrixLpNormValue	NumStability.Analysis.Higham6BlockAntidiag	NumStability.Source.Higham.Chapter06.BlockAntidiagonalNorm.InducedLp	theorem	public
NumStability.ch6aside_matrixLpCLM_norm_eq	NumStability.Analysis.Higham6BlockAntidiag	NumStability.Source.Higham.Chapter06.BlockAntidiagonalNorm.InducedLp	theorem	public
NumStability.ch6aside_maxNorm_allOnes	NumStability.Analysis.Higham6Asides	NumStability.Source.Higham.Chapter06.Asides.MaxNormInconsistency	theorem	public
NumStability.ch6aside_maxNorm_allOnes_mul	NumStability.Analysis.Higham6Asides	NumStability.Source.Higham.Chapter06.Asides.MaxNormInconsistency	theorem	public
NumStability.ch6aside_maxNorm_equality_allOnes	NumStability.Analysis.Higham6Asides	NumStability.Source.Higham.Chapter06.Asides.MaxNormInconsistency	theorem	public
NumStability.ch6aside_maxNorm_mul_le	NumStability.Analysis.Higham6Asides	NumStability.Source.Higham.Chapter06.Asides.MaxNormInconsistency	theorem	public
NumStability.ch6aside_maxNorm_not_consistent	NumStability.Analysis.Higham6Asides	NumStability.Source.Higham.Chapter06.Asides.MaxNormInconsistency	theorem	public
