format	1
NumStability.Higham13LocalLUFamilySpec.upper_norm_isBigO_one	NumStability.Algorithms.LU.BlockLUFirstOrderFamilies	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderFamilies	theorem	public
NumStability.Higham13MatMulFamilySpec	NumStability.Algorithms.LU.BlockLUFirstOrderFamilies	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderFamilies	inductive	public
NumStability.Higham13MatMulFamilySpec.casesOn	NumStability.Algorithms.LU.BlockLUFirstOrderFamilies	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderFamilies	definition	public
NumStability.Higham13MatMulFamilySpec.equation	NumStability.Algorithms.LU.BlockLUFirstOrderFamilies	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderFamilies	theorem	public
NumStability.Higham13MatMulFamilySpec.left_norm_isBigO_one	NumStability.Algorithms.LU.BlockLUFirstOrderFamilies	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderFamilies	theorem	public
NumStability.Higham13MatMulFamilySpec.mk	NumStability.Algorithms.LU.BlockLUFirstOrderFamilies	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderFamilies	constructor	public
NumStability.Higham13MatMulFamilySpec.norm_bound	NumStability.Algorithms.LU.BlockLUFirstOrderFamilies	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderFamilies	theorem	public
NumStability.Higham13MatMulFamilySpec.rec	NumStability.Algorithms.LU.BlockLUFirstOrderFamilies	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderFamilies	recursor	public
NumStability.Higham13MatMulFamilySpec.recOn	NumStability.Algorithms.LU.BlockLUFirstOrderFamilies	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderFamilies	definition	public
NumStability.Higham13MatMulFamilySpec.right_norm_isBigO_one	NumStability.Algorithms.LU.BlockLUFirstOrderFamilies	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderFamilies	theorem	public
NumStability.Higham13PartitionedLUFamilySpec	NumStability.Algorithms.LU.BlockLUFirstOrderFamilies	NumStability.Source.Higham.Chapter13.Theorem05.FamilyErrorAnalysis	inductive	public
NumStability.Higham13PartitionedLUFamilySpec.casesOn	NumStability.Algorithms.LU.BlockLUFirstOrderFamilies	NumStability.Source.Higham.Chapter13.Theorem05.FamilyErrorAnalysis	definition	public
