format	1
edge	NumStability.Analysis.Perturbation.LeastSquares.Equality.KKTInverse	NumStability.Algorithms.LinearSystems.LeastSquares.Basic	0	2
edge	NumStability.Analysis.Perturbation.LeastSquares.Equality.KKTInverse	NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic	14	14
edge	NumStability.Analysis.Perturbation.LeastSquares.Equality.KKTInverse	NumStability.Analysis.Perturbation.LeastSquares.Equality.Perturbation	5	47
edge	NumStability.Analysis.Perturbation.LeastSquares.Equality.MixedStability	NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic	617	660
edge	NumStability.Analysis.Perturbation.LeastSquares.Equality.MixedStability	NumStability.Algorithms.LinearSystems.LeastSquares.Equality.GQR	735	737
edge	NumStability.Analysis.Perturbation.LeastSquares.Equality.MixedStability	NumStability.Analysis.Perturbation.LeastSquares.Equality.Perturbation	16	73
edge	NumStability.Analysis.Perturbation.LeastSquares.Equality.Perturbation	NumStability.Algorithms.LinearSystems.LeastSquares.Basic	206	226
edge	NumStability.Analysis.Perturbation.LeastSquares.Equality.Perturbation	NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic	1851	1919
edge	NumStability.Analysis.Perturbation.LeastSquares.Equality.Perturbation	NumStability.Algorithms.LinearSystems.LeastSquares.Equality.GQR	421	695
edge	NumStability.Analysis.Perturbation.LeastSquares.Equality.Perturbation	NumStability.Algorithms.LinearSystems.LeastSquares.NormalEquations	1	1
edge	NumStability.Analysis.Perturbation.LeastSquares.Equality.Perturbation	NumStability.Algorithms.LinearSystems.LeastSquares.RankGeometry	18	18
edge	NumStability.Analysis.Perturbation.LeastSquares.Equality.Perturbation	NumStability.Analysis.Perturbation.LeastSquares.Wedin	30	32
edge	NumStability.Analysis.Perturbation.LeastSquares.Equality.RowwiseBackwardError	NumStability.Algorithms.LinearSystems.LeastSquares.Basic	179	136
edge	NumStability.Analysis.Perturbation.LeastSquares.Equality.RowwiseBackwardError	NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic	808	922
edge	NumStability.Analysis.Perturbation.LeastSquares.Equality.RowwiseBackwardError	NumStability.Algorithms.LinearSystems.LeastSquares.QRSolve	330	336
edge	NumStability.Analysis.Perturbation.LeastSquares.GramBasis	NumStability.Algorithms.LinearSystems.LeastSquares.AugmentedSystem	12	6
edge	NumStability.Analysis.Perturbation.LeastSquares.GramBasis	NumStability.Algorithms.LinearSystems.LeastSquares.GramBasis	0	3
edge	NumStability.Analysis.Perturbation.LeastSquares.GramBasis	NumStability.Analysis.Perturbation.LeastSquares.AugmentedSystem	0	1
