format	1
_private.NumStability.Algorithms.LeastSquares.Higham20Theorem20_10.NumStability.Theorem20_10.orthogonal_matMulVec_injective	_private.NumStability.Algorithms.LeastSquares.Higham20Theorem20_10.0.NumStability.Theorem20_10.orthogonal_matMulVec_injective	_private.NumStability.Source.Higham.Chapter20.Theorem10.0.NumStability.Theorem20_10.orthogonal_matMulVec_injective
_private.NumStability.Algorithms.LeastSquares.Higham20Theorem20_4Absorption.NumStability.higham20Theorem20_4_abs_matMulRectLeft_le	_private.NumStability.Algorithms.LeastSquares.Higham20Theorem20_4Absorption.0.NumStability.higham20Theorem20_4_abs_matMulRectLeft_le	_private.NumStability.Analysis.Perturbation.LeastSquares.Absorption.0.NumStability.higham20Theorem20_4_abs_matMulRectLeft_le
_private.NumStability.Algorithms.LeastSquares.Higham20Theorem20_4Absorption.NumStability.higham20Theorem20_4_frobNorm_smul_nonneg	_private.NumStability.Algorithms.LeastSquares.Higham20Theorem20_4Absorption.0.NumStability.higham20Theorem20_4_frobNorm_smul_nonneg	_private.NumStability.Analysis.Perturbation.LeastSquares.Absorption.0.NumStability.higham20Theorem20_4_frobNorm_smul_nonneg
_private.NumStability.Algorithms.LeastSquares.Higham20Theorem20_4Absorption.NumStability.higham20Theorem20_4_matMulRect_mono_left	_private.NumStability.Algorithms.LeastSquares.Higham20Theorem20_4Absorption.0.NumStability.higham20Theorem20_4_matMulRect_mono_left	_private.NumStability.Source.Higham.Chapter20.Theorem04.0.NumStability.higham20Theorem20_4_matMulRect_mono_left
_private.NumStability.Algorithms.LeastSquares.Higham20Theorem20_4Absorption.NumStability.higham20Theorem20_4_matMulRect_mono_right	_private.NumStability.Algorithms.LeastSquares.Higham20Theorem20_4Absorption.0.NumStability.higham20Theorem20_4_matMulRect_mono_right	_private.NumStability.Analysis.Perturbation.LeastSquares.Absorption.0.NumStability.higham20Theorem20_4_matMulRect_mono_right
_private.NumStability.Algorithms.LeastSquares.LSE.NumStability.GeneralizedQRFactorization.A_zero_of_transformed_A_zero	_private.NumStability.Algorithms.LeastSquares.LSE.0.NumStability.GeneralizedQRFactorization.A_zero_of_transformed_A_zero	_private.NumStability.Algorithms.LinearSystems.LeastSquares.Equality.GQR.0.NumStability.GeneralizedQRFactorization.A_zero_of_transformed_A_zero
_private.NumStability.Algorithms.LeastSquares.LSE.NumStability.GeneralizedQRFactorization.transformed_A_action_eq	_private.NumStability.Algorithms.LeastSquares.LSE.0.NumStability.GeneralizedQRFactorization.transformed_A_action_eq	_private.NumStability.Algorithms.LinearSystems.LeastSquares.Equality.GQR.0.NumStability.GeneralizedQRFactorization.transformed_A_action_eq
_private.NumStability.Algorithms.LeastSquares.LSE.NumStability.GeneralizedQRFactorization.transformed_A_zero_of_A_zero	_private.NumStability.Algorithms.LeastSquares.LSE.0.NumStability.GeneralizedQRFactorization.transformed_A_zero_of_A_zero	_private.NumStability.Algorithms.LinearSystems.LeastSquares.Equality.GQR.0.NumStability.GeneralizedQRFactorization.transformed_A_zero_of_A_zero
_private.NumStability.Algorithms.LeastSquares.LSE.NumStability.continuous_lsObjective	_private.NumStability.Algorithms.LeastSquares.LSE.0.NumStability.continuous_lsObjective	_private.NumStability.Analysis.Perturbation.LeastSquares.Equality.Perturbation.0.NumStability.continuous_lsObjective
_private.NumStability.Algorithms.LeastSquares.LSE.NumStability.continuous_lseConstraintResidual_apply	_private.NumStability.Algorithms.LeastSquares.LSE.0.NumStability.continuous_lseConstraintResidual_apply	_private.NumStability.Analysis.Perturbation.LeastSquares.Equality.Perturbation.0.NumStability.continuous_lseConstraintResidual_apply
_private.NumStability.Algorithms.LeastSquares.LSE.NumStability.finAppend_left_right	_private.NumStability.Algorithms.LeastSquares.LSE.0.NumStability.finAppend_left_right	_private.NumStability.Algorithms.LinearSystems.LeastSquares.Equality.GQR.0.NumStability.finAppend_left_right
_private.NumStability.Algorithms.LeastSquares.LSE.NumStability.isInverse_rectMatMulVec_bijective	_private.NumStability.Algorithms.LeastSquares.LSE.0.NumStability.isInverse_rectMatMulVec_bijective	_private.NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic.0.NumStability.isInverse_rectMatMulVec_bijective
_private.NumStability.Algorithms.LeastSquares.LSE.NumStability.isOrthogonal_of_column_orthonormal	_private.NumStability.Algorithms.LeastSquares.LSE.0.NumStability.isOrthogonal_of_column_orthonormal	_private.NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic.0.NumStability.isOrthogonal_of_column_orthonormal
_private.NumStability.Algorithms.LeastSquares.LSE.NumStability.isRightInverse_of_isLeftInverse_square	_private.NumStability.Algorithms.LeastSquares.LSE.0.NumStability.isRightInverse_of_isLeftInverse_square	_private.NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic.0.NumStability.isRightInverse_of_isLeftInverse_square
_private.NumStability.Algorithms.LeastSquares.LSE.NumStability.lsObjective_gqrAQBlock_eq	_private.NumStability.Algorithms.LeastSquares.LSE.0.NumStability.lsObjective_gqrAQBlock_eq	_private.NumStability.Analysis.Perturbation.LeastSquares.Equality.Perturbation.0.NumStability.lsObjective_gqrAQBlock_eq
_private.NumStability.Algorithms.LeastSquares.LSE.NumStability.lsResidual_gqrAQBlock	_private.NumStability.Algorithms.LeastSquares.LSE.0.NumStability.lsResidual_gqrAQBlock	_private.NumStability.Analysis.Perturbation.LeastSquares.Equality.Perturbation.0.NumStability.lsResidual_gqrAQBlock
_private.NumStability.Algorithms.LeastSquares.LSE.NumStability.lseConstraintLinearMap_basis	_private.NumStability.Algorithms.LeastSquares.LSE.0.NumStability.lseConstraintLinearMap_basis	_private.NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic.0.NumStability.lseConstraintLinearMap_basis
_private.NumStability.Algorithms.LeastSquares.LSE.NumStability.lseDotDual	_private.NumStability.Algorithms.LeastSquares.LSE.0.NumStability.lseDotDual	_private.NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic.0.NumStability.lseDotDual
_private.NumStability.Algorithms.LeastSquares.LSE.NumStability.lseDotDual_basis	_private.NumStability.Algorithms.LeastSquares.LSE.0.NumStability.lseDotDual_basis	_private.NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic.0.NumStability.lseDotDual_basis
_private.NumStability.Algorithms.LeastSquares.LSE.NumStability.lseDual_eval_eq_sum	_private.NumStability.Algorithms.LeastSquares.LSE.0.NumStability.lseDual_eval_eq_sum	_private.NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic.0.NumStability.lseDual_eval_eq_sum
_private.NumStability.Algorithms.LeastSquares.LSE.NumStability.lseKernelFactorDual	_private.NumStability.Algorithms.LeastSquares.LSE.0.NumStability.lseKernelFactorDual	_private.NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic.0.NumStability.lseKernelFactorDual
_private.NumStability.Algorithms.LeastSquares.LSE.NumStability.lseKernelFactorDual_apply_constraint	_private.NumStability.Algorithms.LeastSquares.LSE.0.NumStability.lseKernelFactorDual_apply_constraint	_private.NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic.0.NumStability.lseKernelFactorDual_apply_constraint
_private.NumStability.Algorithms.LeastSquares.LSE.NumStability.lse_linear_term_eq_zero_of_quadratic_nonneg	_private.NumStability.Algorithms.LeastSquares.LSE.0.NumStability.lse_linear_term_eq_zero_of_quadratic_nonneg	_private.NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic.0.NumStability.lse_linear_term_eq_zero_of_quadratic_nonneg
_private.NumStability.Algorithms.LeastSquares.LSE.NumStability.matMulVec_orthogonal_mul_transpose	_private.NumStability.Algorithms.LeastSquares.LSE.0.NumStability.matMulVec_orthogonal_mul_transpose	_private.NumStability.Algorithms.LinearSystems.LeastSquares.Equality.GQR.0.NumStability.matMulVec_orthogonal_mul_transpose
_private.NumStability.Algorithms.LeastSquares.LSE.NumStability.matMulVec_orthogonal_transpose_mul	_private.NumStability.Algorithms.LeastSquares.LSE.0.NumStability.matMulVec_orthogonal_transpose_mul	_private.NumStability.Algorithms.LinearSystems.LeastSquares.Equality.GQR.0.NumStability.matMulVec_orthogonal_transpose_mul
_private.NumStability.Algorithms.LeastSquares.LSE.NumStability.matMulVec_zero	_private.NumStability.Algorithms.LeastSquares.LSE.0.NumStability.matMulVec_zero	_private.NumStability.Algorithms.LinearSystems.LeastSquares.Equality.GQR.0.NumStability.matMulVec_zero
_private.NumStability.Algorithms.LeastSquares.LSE.NumStability.rectMatMulVec_zero	_private.NumStability.Algorithms.LeastSquares.LSE.0.NumStability.rectMatMulVec_zero	_private.NumStability.Algorithms.LinearSystems.LeastSquares.Equality.GQR.0.NumStability.rectMatMulVec_zero
_private.NumStability.Algorithms.LeastSquares.LSE.NumStability.theorem20_7_finProdUniv_nonempty_of_pos	_private.NumStability.Algorithms.LeastSquares.LSE.0.NumStability.theorem20_7_finProdUniv_nonempty_of_pos	_private.NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic.0.NumStability.theorem20_7_finProdUniv_nonempty_of_pos
_private.NumStability.Algorithms.LeastSquares.LSE.NumStability.theorem20_7_finRectProdUniv_nonempty_of_pos	_private.NumStability.Algorithms.LeastSquares.LSE.0.NumStability.theorem20_7_finRectProdUniv_nonempty_of_pos	_private.NumStability.Analysis.Perturbation.LeastSquares.Equality.RowwiseBackwardError.0.NumStability.theorem20_7_finRectProdUniv_nonempty_of_pos
_private.NumStability.Algorithms.LeastSquares.LSE.NumStability.theorem20_7_finUniv_nonempty_of_pos	_private.NumStability.Algorithms.LeastSquares.LSE.0.NumStability.theorem20_7_finUniv_nonempty_of_pos	_private.NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic.0.NumStability.theorem20_7_finUniv_nonempty_of_pos
_private.NumStability.Algorithms.LeastSquares.LSE.NumStability.vecNorm2Sq_append	_private.NumStability.Algorithms.LeastSquares.LSE.0.NumStability.vecNorm2Sq_append	_private.NumStability.Analysis.Perturbation.LeastSquares.Equality.Perturbation.0.NumStability.vecNorm2Sq_append
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.complexMatrixEuclideanLin_ker_eq_bot_of_rank_eq_card	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.complexMatrixEuclideanLin_ker_eq_bot_of_rank_eq_card	_private.NumStability.Source.Higham.Chapter20.Theorem03.QRSolve.0.NumStability.complexMatrixEuclideanLin_ker_eq_bot_of_rank_eq_card
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.complexMatrixRank_eq_card_of_euclideanLin_ker_eq_bot	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.complexMatrixRank_eq_card_of_euclideanLin_ker_eq_bot	_private.NumStability.Source.Higham.Chapter20.Theorem03.QRSolve.0.NumStability.complexMatrixRank_eq_card_of_euclideanLin_ker_eq_bot
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.complexMatrixRank_ne_card_of_euclideanLin_ker_nonzero	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.complexMatrixRank_ne_card_of_euclideanLin_ker_nonzero	_private.NumStability.Source.Higham.Chapter20.Theorem03.QRSolve.0.NumStability.complexMatrixRank_ne_card_of_euclideanLin_ker_nonzero
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.finiteTranspose_formulaMatrix_real_kernel_eq_zero_of_not_isLeastSquaresMinimizer	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.finiteTranspose_formulaMatrix_real_kernel_eq_zero_of_not_isLeastSquaresMinimizer	_private.NumStability.Source.Higham.Chapter20.Theorem03.QRSolve.0.NumStability.finiteTranspose_formulaMatrix_real_kernel_eq_zero_of_not_isLeastSquaresMinimizer
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.frobNormSqRect_add_eq_add_of_inner_eq_zero_lsq	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.frobNormSqRect_add_eq_add_of_inner_eq_zero_lsq	_private.NumStability.Source.Higham.Chapter20.Theorem03.QRSolve.0.NumStability.frobNormSqRect_add_eq_add_of_inner_eq_zero_lsq
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.frobNormSqRect_rankOne_real	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.frobNormSqRect_rankOne_real	_private.NumStability.Source.Higham.Chapter20.Theorem03.QRSolve.0.NumStability.frobNormSqRect_rankOne_real
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.linear_term_eq_zero_of_quadratic_nonneg	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.linear_term_eq_zero_of_quadratic_nonneg	_private.NumStability.Algorithms.LinearSystems.LeastSquares.NormalEquations.0.NumStability.linear_term_eq_zero_of_quadratic_nonneg
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.lsAugmentedEq20_7LeftMajorant_nonneg	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.lsAugmentedEq20_7LeftMajorant_nonneg	_private.NumStability.Source.Higham.Chapter20.Theorem03.QRSolve.0.NumStability.lsAugmentedEq20_7LeftMajorant_nonneg
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.lsAugmentedEq20_7Majorant_nonneg	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.lsAugmentedEq20_7Majorant_nonneg	_private.NumStability.Source.Higham.Chapter20.Theorem03.QRSolve.0.NumStability.lsAugmentedEq20_7Majorant_nonneg
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.lsAugmentedEq20_7RightMajorant_nonneg	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.lsAugmentedEq20_7RightMajorant_nonneg	_private.NumStability.Source.Higham.Chapter20.Theorem03.QRSolve.0.NumStability.lsAugmentedEq20_7RightMajorant_nonneg
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.lsAugmentedEq20_8LeftMajorant_nonneg	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.lsAugmentedEq20_8LeftMajorant_nonneg	_private.NumStability.Source.Higham.Chapter20.Theorem03.QRSolve.0.NumStability.lsAugmentedEq20_8LeftMajorant_nonneg
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.lsAugmentedEq20_8Majorant_nonneg	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.lsAugmentedEq20_8Majorant_nonneg	_private.NumStability.Source.Higham.Chapter20.Theorem03.QRSolve.0.NumStability.lsAugmentedEq20_8Majorant_nonneg
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.lsAugmentedEq20_8RightMajorant_nonneg	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.lsAugmentedEq20_8RightMajorant_nonneg	_private.NumStability.Source.Higham.Chapter20.Theorem03.QRSolve.0.NumStability.lsAugmentedEq20_8RightMajorant_nonneg
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.lsAugmentedInverseAction_Aplus_mul_A	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.lsAugmentedInverseAction_Aplus_mul_A	_private.NumStability.Algorithms.LinearSystems.LeastSquares.AugmentedSystem.0.NumStability.lsAugmentedInverseAction_Aplus_mul_A
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.lsAugmentedInverseAction_gram_mul_Aplus	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.lsAugmentedInverseAction_gram_mul_Aplus	_private.NumStability.Algorithms.LinearSystems.LeastSquares.AugmentedSystem.0.NumStability.lsAugmentedInverseAction_gram_mul_Aplus
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.lsComponentwiseDataMajorant_nonneg	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.lsComponentwiseDataMajorant_nonneg	_private.NumStability.Source.Higham.Chapter20.Theorem03.QRSolve.0.NumStability.lsComponentwiseDataMajorant_nonneg
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.lsComponentwiseTransposeMajorant_nonneg	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.lsComponentwiseTransposeMajorant_nonneg	_private.NumStability.Source.Higham.Chapter20.Theorem03.QRSolve.0.NumStability.lsComponentwiseTransposeMajorant_nonneg
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.lsEq20_6_rhsBottom_abs_le	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.lsEq20_6_rhsBottom_abs_le	_private.NumStability.Source.Higham.Chapter20.Theorem03.QRSolve.0.NumStability.lsEq20_6_rhsBottom_abs_le
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.lsEq20_6_rhsTop_abs_le	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.lsEq20_6_rhsTop_abs_le	_private.NumStability.Source.Higham.Chapter20.Theorem03.QRSolve.0.NumStability.lsEq20_6_rhsTop_abs_le
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.lsLemma20_6Perturbation_left_decomp	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.lsLemma20_6Perturbation_left_decomp	_private.NumStability.Source.Higham.Chapter20.Theorem03.QRSolve.0.NumStability.lsLemma20_6Perturbation_left_decomp
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.lsLemma20_6Perturbation_transpose_action_self	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.lsLemma20_6Perturbation_transpose_action_self	_private.NumStability.Source.Higham.Chapter20.Theorem03.QRSolve.0.NumStability.lsLemma20_6Perturbation_transpose_action_self
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.lsResidualHigham_column_sum_eq_neg	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.lsResidualHigham_column_sum_eq_neg	_private.NumStability.Source.Higham.Chapter20.Theorem03.QRSolve.0.NumStability.lsResidualHigham_column_sum_eq_neg
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.lsResidual_add_direction	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.lsResidual_add_direction	_private.NumStability.Algorithms.LinearSystems.LeastSquares.Basic.0.NumStability.lsResidual_add_direction
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.ls_cross_term_eq	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.ls_cross_term_eq	_private.NumStability.Algorithms.LinearSystems.LeastSquares.Basic.0.NumStability.ls_cross_term_eq
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.matMulRectLeft_transpose_action_orthogonal	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.matMulRectLeft_transpose_action_orthogonal	_private.NumStability.Algorithms.LinearSystems.LeastSquares.AugmentedSystem.0.NumStability.matMulRectLeft_transpose_action_orthogonal
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.matMulVec_absMatrix_nonneg	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.matMulVec_absMatrix_nonneg	_private.NumStability.Source.Higham.Chapter20.Theorem03.QRSolve.0.NumStability.matMulVec_absMatrix_nonneg
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.matMulVec_eq_zero_of_inverse	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.matMulVec_eq_zero_of_inverse	_private.NumStability.Algorithms.LinearSystems.LeastSquares.AugmentedSystem.0.NumStability.matMulVec_eq_zero_of_inverse
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.matMulVec_orthogonal_mul_transpose_lsq	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.matMulVec_orthogonal_mul_transpose_lsq	_private.NumStability.Algorithms.LinearSystems.LeastSquares.AugmentedSystem.0.NumStability.matMulVec_orthogonal_mul_transpose_lsq
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.matMulVec_orthogonal_transpose_mul_lsq	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.matMulVec_orthogonal_transpose_mul_lsq	_private.NumStability.Analysis.Perturbation.LeastSquares.AugmentedSystem.0.NumStability.matMulVec_orthogonal_transpose_mul_lsq
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.mgsAugmented_matVec_eq	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.mgsAugmented_matVec_eq	_private.NumStability.Algorithms.LinearSystems.LeastSquares.Basic.0.NumStability.mgsAugmented_matVec_eq
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.mgsAugmented_sum_diff	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.mgsAugmented_sum_diff	_private.NumStability.Algorithms.LinearSystems.LeastSquares.Basic.0.NumStability.mgsAugmented_sum_diff
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.realRectToCMatrix_finiteTranspose_formulaMatrix_left_panel_kernel	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.realRectToCMatrix_finiteTranspose_formulaMatrix_left_panel_kernel	_private.NumStability.Source.Higham.Chapter20.Theorem03.QRSolve.0.NumStability.realRectToCMatrix_finiteTranspose_formulaMatrix_left_panel_kernel
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.realVecToEuclidean_ne_zero_of_vecNorm2Sq_ne_zero	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.realVecToEuclidean_ne_zero_of_vecNorm2Sq_ne_zero	_private.NumStability.Source.Higham.Chapter20.Theorem03.QRSolve.0.NumStability.realVecToEuclidean_ne_zero_of_vecNorm2Sq_ne_zero
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.rectLSNormalEquations_residual_sum_eq_diff	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.rectLSNormalEquations_residual_sum_eq_diff	_private.NumStability.Algorithms.LinearSystems.LeastSquares.NormalEquations.0.NumStability.rectLSNormalEquations_residual_sum_eq_diff
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.rectMatMulVec_absMatrixRect_nonneg	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.rectMatMulVec_absMatrixRect_nonneg	_private.NumStability.Source.Higham.Chapter20.Theorem03.QRSolve.0.NumStability.rectMatMulVec_absMatrixRect_nonneg
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.rectMatMulVec_add_matrix_lsq	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.rectMatMulVec_add_matrix_lsq	_private.NumStability.Source.Higham.Chapter20.Theorem03.QRSolve.0.NumStability.rectMatMulVec_add_matrix_lsq
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.sum_smul_finiteBasisVec_mul	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.sum_smul_finiteBasisVec_mul	_private.NumStability.Algorithms.LinearSystems.LeastSquares.NormalEquations.0.NumStability.sum_smul_finiteBasisVec_mul
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.vecNorm2Sq_add_eq	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.vecNorm2Sq_add_eq	_private.NumStability.Algorithms.LinearSystems.LeastSquares.Basic.0.NumStability.vecNorm2Sq_add_eq
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.vecNorm2Sq_add_eq_add_of_inner_eq_zero_lsq	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.vecNorm2Sq_add_eq_add_of_inner_eq_zero_lsq	_private.NumStability.Source.Higham.Chapter20.Theorem03.QRSolve.0.NumStability.vecNorm2Sq_add_eq_add_of_inner_eq_zero_lsq
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.vecNorm2Sq_mgsAugmentedResidualExpansion	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.vecNorm2Sq_mgsAugmentedResidualExpansion	_private.NumStability.Algorithms.LinearSystems.LeastSquares.Basic.0.NumStability.vecNorm2Sq_mgsAugmentedResidualExpansion
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.vecNorm2Sq_pos_of_ne_zero_lsq	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.vecNorm2Sq_pos_of_ne_zero_lsq	_private.NumStability.Source.Higham.Chapter20.Theorem03.QRSolve.0.NumStability.vecNorm2Sq_pos_of_ne_zero_lsq
_private.NumStability.Algorithms.LeastSquares.LSQRSolve.NumStability.vecNorm2_pos_of_ne_zero_lsq	_private.NumStability.Algorithms.LeastSquares.LSQRSolve.0.NumStability.vecNorm2_pos_of_ne_zero_lsq	_private.NumStability.Source.Higham.Chapter20.Theorem03.QRSolve.0.NumStability.vecNorm2_pos_of_ne_zero_lsq
