format	1
declaration	historical_module	destination_module	decision	kind	visibility	command_root	start_line
NumStability.ComponentwiseBackwardError.casesOn	NumStability.Algorithms.IterativeRefinement	NumStability.Algorithms.LinearSystems.IterativeRefinement.Core	move_candidate	definition	public	NumStability.ComponentwiseBackwardError	368
NumStability.ComponentwiseBackwardError.ctorIdx	NumStability.Algorithms.IterativeRefinement	NumStability.Algorithms.LinearSystems.IterativeRefinement.Core	move_candidate	definition	public	NumStability.ComponentwiseBackwardError	368
NumStability.ComponentwiseBackwardError.exact	NumStability.Algorithms.IterativeRefinement	NumStability.Algorithms.LinearSystems.IterativeRefinement.Core	move_candidate	theorem	public	NumStability.ComponentwiseBackwardError	368
NumStability.ComponentwiseBackwardError.mk	NumStability.Algorithms.IterativeRefinement	NumStability.Algorithms.LinearSystems.IterativeRefinement.Core	move_candidate	constructor	public	NumStability.ComponentwiseBackwardError	368
NumStability.ComponentwiseBackwardError.mk.inj	NumStability.Algorithms.IterativeRefinement	NumStability.Algorithms.LinearSystems.IterativeRefinement.Core	move_candidate	theorem	public	NumStability.ComponentwiseBackwardError	368
NumStability.ComponentwiseBackwardError.mk.injEq	NumStability.Algorithms.IterativeRefinement	NumStability.Algorithms.LinearSystems.IterativeRefinement.Core	move_candidate	theorem	public	NumStability.ComponentwiseBackwardError	368
NumStability.ComponentwiseBackwardError.mk.noConfusion	NumStability.Algorithms.IterativeRefinement	NumStability.Algorithms.LinearSystems.IterativeRefinement.Core	move_candidate	definition	public	NumStability.ComponentwiseBackwardError	368
NumStability.ComponentwiseBackwardError.mk.sizeOf_spec	NumStability.Algorithms.IterativeRefinement	NumStability.Algorithms.LinearSystems.IterativeRefinement.Core	move_candidate	theorem	public	NumStability.ComponentwiseBackwardError	368
NumStability.ComponentwiseBackwardError.noConfusion	NumStability.Algorithms.IterativeRefinement	NumStability.Algorithms.LinearSystems.IterativeRefinement.Core	move_candidate	definition	public	NumStability.ComponentwiseBackwardError	368
NumStability.ComponentwiseBackwardError.noConfusionType	NumStability.Algorithms.IterativeRefinement	NumStability.Algorithms.LinearSystems.IterativeRefinement.Core	move_candidate	definition	public	NumStability.ComponentwiseBackwardError	368
NumStability.ComponentwiseBackwardError.rec	NumStability.Algorithms.IterativeRefinement	NumStability.Algorithms.LinearSystems.IterativeRefinement.Core	move_candidate	recursor	public	NumStability.ComponentwiseBackwardError	368
NumStability.ComponentwiseBackwardError.recOn	NumStability.Algorithms.IterativeRefinement	NumStability.Algorithms.LinearSystems.IterativeRefinement.Core	move_candidate	definition	public	NumStability.ComponentwiseBackwardError	368
NumStability.ComponentwiseBackwardError.ΔA	NumStability.Algorithms.IterativeRefinement	NumStability.Algorithms.LinearSystems.IterativeRefinement.Core	move_candidate	definition	public	NumStability.ComponentwiseBackwardError	368
NumStability.ComponentwiseBackwardError.ΔA_bound	NumStability.Algorithms.IterativeRefinement	NumStability.Algorithms.LinearSystems.IterativeRefinement.Core	move_candidate	theorem	public	NumStability.ComponentwiseBackwardError	368
NumStability.ComponentwiseBackwardError.Δb	NumStability.Algorithms.IterativeRefinement	NumStability.Algorithms.LinearSystems.IterativeRefinement.Core	move_candidate	definition	public	NumStability.ComponentwiseBackwardError	368
NumStability.ComponentwiseBackwardError.Δb_bound	NumStability.Algorithms.IterativeRefinement	NumStability.Algorithms.LinearSystems.IterativeRefinement.Core	move_candidate	theorem	public	NumStability.ComponentwiseBackwardError	368
NumStability.ComponentwiseFirstOrderBackwardFeasible	NumStability.Analysis.FirstOrderFramework	NumStability.Analysis.FirstOrderFramework	canonical_in_place	definition	public	-	-
NumStability.DoolittleDenseLoopAbsBudgetCertificate	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	move_candidate	inductive	public	NumStability.DoolittleDenseLoopAbsBudgetCertificate	1583
NumStability.DoolittleDenseLoopAbsBudgetCertificate.L_abs_residual	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	move_candidate	theorem	public	NumStability.DoolittleDenseLoopAbsBudgetCertificate	1583
NumStability.DoolittleDenseLoopAbsBudgetCertificate.L_budget_le_compression	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	move_candidate	theorem	public	NumStability.DoolittleDenseLoopAbsBudgetCertificate	1583
NumStability.DoolittleDenseLoopAbsBudgetCertificate.L_diag	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	move_candidate	theorem	public	NumStability.DoolittleDenseLoopAbsBudgetCertificate	1583
NumStability.DoolittleDenseLoopAbsBudgetCertificate.L_entry_eq	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	move_candidate	theorem	public	NumStability.DoolittleDenseLoopAbsBudgetCertificate	1583
NumStability.DoolittleDenseLoopAbsBudgetCertificate.L_upper_zero	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	move_candidate	theorem	public	NumStability.DoolittleDenseLoopAbsBudgetCertificate	1583
NumStability.DoolittleDenseLoopAbsBudgetCertificate.U_abs_residual	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	move_candidate	theorem	public	NumStability.DoolittleDenseLoopAbsBudgetCertificate	1583
NumStability.DoolittleDenseLoopAbsBudgetCertificate.U_budget_le_compression	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	move_candidate	theorem	public	NumStability.DoolittleDenseLoopAbsBudgetCertificate	1583
NumStability.DoolittleDenseLoopAbsBudgetCertificate.U_entry_eq	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	move_candidate	theorem	public	NumStability.DoolittleDenseLoopAbsBudgetCertificate	1583
NumStability.DoolittleDenseLoopAbsBudgetCertificate.U_lower_zero	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	move_candidate	theorem	public	NumStability.DoolittleDenseLoopAbsBudgetCertificate	1583
