format	1
declaration	historical_module	destination_module	decision	kind	visibility	command_root	start_line
NumStability.H16_LyapunovDefinition_lyapunovOp	NumStability.Algorithms.Sylvester.SylvesterSpec	NumStability.Source.Higham.Chapter16.Section02.SylvesterAndLyapunovBackwardError.LyapunovDefinition	move_source	definition	public	NumStability.H16_LyapunovDefinition_lyapunovOp	136
NumStability.H16_LyapunovDefinition_lyapunovOp_eq_sylvesterOp	NumStability.Algorithms.Sylvester.SylvesterSpec	NumStability.Source.Higham.Chapter16.Section02.SylvesterAndLyapunovBackwardError.LyapunovDefinition	move_source	theorem	public	NumStability.H16_LyapunovDefinition_lyapunovOp_eq_sylvesterOp	143
NumStability.H16_Lyapunov_solution_iff_sylvester_special	NumStability.Algorithms.Sylvester.Higham16	NumStability.Source.Higham.Chapter16.Section03.PerturbationAndConditioning.LyapunovSolutions	move_source	theorem	public	NumStability.H16_Lyapunov_solution_iff_sylvester_special	5331
NumStability.H16_Lyapunov_solution_symmetric_of_symmetric_rhs	NumStability.Algorithms.Sylvester.Higham16	NumStability.Source.Higham.Chapter16.Section03.PerturbationAndConditioning.LyapunovSolutions	move_source	theorem	public	NumStability.H16_Lyapunov_solution_symmetric_of_symmetric_rhs	5346
NumStability.H16_Lyapunov_transpose_solution_of_symmetric_rhs	NumStability.Algorithms.Sylvester.Higham16	NumStability.Source.Higham.Chapter16.Section03.PerturbationAndConditioning.LyapunovSolutions	move_source	theorem	public	NumStability.H16_Lyapunov_transpose_solution_of_symmetric_rhs	5341
NumStability.H16_Lyapunov_unique_solution_of_sep	NumStability.Algorithms.Sylvester.Higham16	NumStability.Source.Higham.Chapter16.Section03.PerturbationAndConditioning.LyapunovSolutions	move_source	theorem	public	NumStability.H16_Lyapunov_unique_solution_of_sep	5336
NumStability.H16_eq16_10_IsBackwardError	NumStability.Algorithms.Sylvester.SylvesterSpec	NumStability.Source.Higham.Chapter16.Section02.SylvesterAndLyapunovBackwardError.Equation10	move_source	definition	public	NumStability.H16_eq16_10_IsBackwardError	166
NumStability.H16_eq16_11_residual_decomposition	NumStability.Algorithms.Sylvester.SylvesterSpec	NumStability.Source.Higham.Chapter16.Section02.SylvesterAndLyapunovBackwardError.Equation11	move_source	theorem	public	NumStability.H16_eq16_11_residual_decomposition	213
NumStability.H16_eq16_12_residual_bound	NumStability.Algorithms.Sylvester.SylvesterSpec	NumStability.Source.Higham.Chapter16.Section02.SylvesterAndLyapunovBackwardError.Equation12	move_source	theorem	public	NumStability.H16_eq16_12_residual_bound	285
NumStability.H16_eq16_13_IsSVD	NumStability.Algorithms.Sylvester.SylvesterBackward	NumStability.Source.Higham.Chapter16.Section02.SylvesterAndLyapunovBackwardError.Equation13	move_source	definition	public	NumStability.H16_eq16_13_IsSVD	78
NumStability.H16_eq16_13_svdResidual	NumStability.Algorithms.Sylvester.SylvesterBackward	NumStability.Source.Higham.Chapter16.Section02.SylvesterAndLyapunovBackwardError.Equation13	move_source	definition	public	NumStability.H16_eq16_13_svdResidual	82
NumStability.H16_eq16_13_svdResidual_frobNormSq	NumStability.Algorithms.Sylvester.SylvesterBackward	NumStability.Source.Higham.Chapter16.Section02.SylvesterAndLyapunovBackwardError.Equation13	move_source	theorem	public	NumStability.H16_eq16_13_svdResidual_frobNormSq	89
NumStability.H16_eq16_14_15_backward_error_lower_sq	NumStability.Algorithms.Sylvester.SylvesterBackward	NumStability.Source.Higham.Chapter16.Section02.SylvesterAndLyapunovBackwardError.Equation15	move_source	theorem	public	NumStability.H16_eq16_14_15_backward_error_lower_sq	157
